Company,Category,Revenue,Net_income,Net_margin,Year,FY,Fiscal_period,Currency,Ticker_symbol,Link_or_not,Link
Tiffany,珠宝, 282 , 25.0 ,8.9%,2017,2017/2018,2017/2/1-2018/1/31,亿元,TIF.US,YES,https://investor.tiffany.com/static-files/6b06ec33-3f12-4f0f-a908-b90dbc2db82a
Tiffany,珠宝, 266 , -   ,0.0%,2016,2016/2017,2016/2/1-2027/1/31,亿元,TIF.US,YES,https://investor.tiffany.com/static-files/b46c8486-a789-49ac-b27a-a038f410939e
CARTIER,珠宝, 61 , -   ,0.0%,2019,2019,2019/1/1-2019/12/31,亿元,CFRUY.US,YES,https://www.richemont.com/images/investor_relations/reports/annual_report/2020/ar_fy2020_d83jnf67asb34ac.pdf
CARTIER,珠宝, 51 , -   ,0.0%,2018,2018,2018/1/1-2018/12/31,亿元,CFRUY.US,YES,https://www.richemont.com/images/investor_relations/reports/annual_report/2020/ar_fy2020_d83jnf67asb34ac.pdf
CARTIER,珠宝, 41 , -   ,0.0%,2017,2017,2017/1/1-2017/12/31,亿元,CFRUY.US,YES,https://www.richemont.com/images/investor_relations/reports/annual_report/2020/ar_fy2020_d83jnf67asb34ac.pdf
CARTIER,珠宝, 34 , -   ,0.0%,2016,2016,2016/1/1-2016/12/31,亿元,CFRUY.US,YES,https://www.richemont.com/images/investor_relations/reports/annual_report/2020/ar_fy2020_d83jnf67asb34ac.pdf
Swarovski ,珠宝, 31 , -   ,0.0%,2019,2019,2019/1/1-2019/12/31,亿元,未上市,NO,
Swarovski ,珠宝, 27 , -   ,0.0%,2018,2018,2018/1/1-2018/12/31,亿元,未上市,NO,
Swarovski ,珠宝, 23 , -   ,0.0%,2017,2017,2017/1/1-2017/12/31,亿元,未上市,NO,
Swarovski ,珠宝, 20 , -   ,0%,2016,2016,2016/1/1-2016/12/31,亿元,未上市,NO,
Pandora ,珠宝, 28 , -   ,0%,2019,2019,2019/1/1-2019/12/31,亿元,未上市,NO,
Pandora ,珠宝, 27 , -   ,0%,2018,2018,2018/1/1-2018/12/31,亿元,未上市,NO,
Pandora ,珠宝, 21 , -   ,0%,2017,2017,2017/1/1-2017/12/31,亿元,未上市,NO,
Pandora ,珠宝, 12 , -   ,0%,2016,2016,2016/1/1-2016/12/31,亿元,未上市,NO,
Bvlgari,珠宝, 17 , -   ,0%,2019,2019,2019/1/1-2019/12/31,亿元,LVMUY.US,NO,
Bvlgari,珠宝, 13 , -   ,0%,2018,2018,2018/1/1-2018/12/31,亿元,LVMUY.US,NO,
Bvlgari,珠宝, 10 , -   ,0%,2017,2017,2017/1/1-2017/12/31,亿元,LVMUY.US,NO,
Bvlgari,珠宝, 8 , -   ,0%,2016,2016,2016/1/1-2016/12/31,亿元,LVMUY.US,NO,
菜百黄金,珠宝, 84 , 4.0 ,5%,2019,2019,2019/1/1-2019/12/31,亿元,招股书（申报稿）,YES,http://eid.csrc.gov.cn/xbrl2/exhibitxbrl//101781440/null/CN-101542829-GA0101-20200904-11.pdf
菜百黄金,珠宝, 86 , 3.7 ,4%,2018,2018,2018/1/1-2018/12/31,亿元,招股书（申报稿）,YES,http://eid.csrc.gov.cn/xbrl2/exhibitxbrl//101781440/null/CN-101542829-GA0101-20200904-11.pdf
菜百黄金,珠宝, 80 , 3.3 ,4%,2017,2017,2017/1/1-2017/12/31,亿元,招股书（申报稿）,YES,http://eid.csrc.gov.cn/xbrl2/exhibitxbrl//101781440/null/CN-101542829-GA0101-20200904-11.pdf
中国黄金,珠宝, 381 , 45.1 ,12%,2019,2019,2019/1/1-2019/12/31,亿元,招股书（申报稿）,YES,http://eid.csrc.gov.cn/mnt/storage/stock/pre_ipo/pre_ipo2020/7/13/1594624962658CN-565754045-GA0101-20200707-31%20(1).pdf
中国黄金,珠宝, 408 , 36.2 ,9%,2018,2018,2018/1/1-2018/12/31,亿元,招股书（申报稿）,YES,http://eid.csrc.gov.cn/mnt/storage/stock/pre_ipo/pre_ipo2020/7/13/1594624962658CN-565754045-GA0101-20200707-31%20(1).pdf
中国黄金,珠宝, 281 , 29.9 ,11%,2017,2017,2017/1/1-2017/12/31,亿元,招股书（申报稿）,YES,http://eid.csrc.gov.cn/mnt/storage/stock/pre_ipo/pre_ipo2020/7/13/1594624962658CN-565754045-GA0101-20200707-31%20(1).pdf
中国黄金,珠宝, 262 , -   ,0%,2016,2016,2016/1/1-2016/12/31,亿元,招股书（申报稿）,YES,http://eid.csrc.gov.cn/xbrl2/exhibitxbrl//101781440/12776/CN-565754045-GA0101-20190628-11.pdf
萃华珠宝,珠宝, 23 , 0.4 ,2%,2019,2019,2019/1/1-2019/12/31,亿元,002731.SZ,YES,http://static.cninfo.com.cn/finalpage/2020-04-28/1207642378.PDF
萃华珠宝,珠宝, 27 , 0.3 ,1%,2018,2018,2018/1/1-2018/12/31,亿元,002731.SZ,YES,http://static.cninfo.com.cn/finalpage/2019-04-25/1206093223.PDF
萃华珠宝,珠宝, 27 , 0.6 ,2%,2017,2017,2017/1/1-2017/12/31,亿元,002731.SZ,YES,http://static.cninfo.com.cn/finalpage/2018-04-26/1204789110.PDF
萃华珠宝,珠宝, 22 , 0.6 ,3%,2016,2016,2016/1/1-2016/12/31,亿元,002731.SZ,YES,http://static.cninfo.com.cn/finalpage/2017-04-20/1203332545.PDF
莱绅通灵,珠宝, 13 , 1.5 ,11%,2019,2019,2019/1/1-2019/12/31,亿元,603900.SH,YES,http://static.cninfo.com.cn/finalpage/2020-04-25/1207599708.PDF
莱绅通灵,珠宝, 17 , 2.1 ,13%,2018,2018,2018/1/1-2018/12/31,亿元,603900.SH,YES,http://static.cninfo.com.cn/finalpage/2019-04-19/1206054316.PDF
莱绅通灵,珠宝, 20 , 3.1 ,16%,2017,2017,2017/1/1-2017/12/31,亿元,603900.SH,YES,http://static.cninfo.com.cn/finalpage/2018-03-16/1204480059.PDF
莱绅通灵,珠宝, 17 , 2.2 ,13%,2016,2016,2016/1/1-2016/12/31,亿元,603900.SH,YES,http://static.cninfo.com.cn/finalpage/2017-03-22/1203183911.PDF
