Company,Category,Revenue,Net_income,Net_margin,Year,FY,Fiscal_period,Currency,Ticker_symbol,Link_or_not,Link
奥康,鞋, 27 , 0.2 ,0.8%,2019,2019,2019/1/1-2019/12/31,亿元,603001.SH,YES,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2020/2020-6/2020-06-17/6373282.PDF
奥康,鞋, 30 , 1.4 ,4.5%,2018,2018,2018/1/1-2018/12/31,亿元,603001.SH,YES,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2020/2020-6/2020-06-17/6373282.PDF
奥康,鞋, 33 , 2.3 ,6.9%,2017,2017,2017/1/1-2017/12/31,亿元,603001.SH,YES,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2018/2018-4/2018-04-26/4347408.PDF
奥康,鞋, 32 , 3.1 ,9.4%,2016,2016,2016/1/1-2016/12/31,亿元,603001.SH,YES,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2018/2018-4/2018-04-26/4347408.PDF
UGG,鞋, 140 , 18.1 ,12.9%,2019,2019,2019/04/01-2020/03/31,亿元,DECK,YES,https://www.sec.gov/ix?doc=/Archives/edgar/data/910521/000091052120000016/deck331202010-k.htm#S71b4c2bb05f750fdbcf4b30b9117d309
UGG,鞋, 132 , 17.3 ,13.1%,2018,2018,2018/04/01-2019/03/31,亿元,DECK,YES,https://www.sec.gov/ix?doc=/Archives/edgar/data/910521/000091052120000016/deck331202010-k.htm#S71b4c2bb05f750fdbcf4b30b9117d309
UGG,鞋, 125 , 8.4 ,6.7%,2017,2017,2017/04/01-2018/03/31,亿元,DECK,YES,https://www.sec.gov/ix?doc=/Archives/edgar/data/910521/000091052120000016/deck331202010-k.htm#S71b4c2bb05f750fdbcf4b30b9117d309
UGG,鞋, 117 , 0.4 ,0.3%,2016,2016,2016/04/01-2017/03/31,亿元,DECK,YES,https://www.sec.gov/Archives/edgar/data/910521/000091052119000011/deck331201910-kdocument.htm#sEBEB650C23D5562F891B4202E318D976
SKECHERS,鞋, 301 , 9.6 ,3.2%,2020,2020,2020/01/01-2020/12/31,亿元,SKX,YES,https://www.sec.gov/ix?doc=/Archives/edgar/data/1065837/000156459021009442/skx-10k_20201231.htm
SKECHERS,鞋, 342 , 28.0 ,8.2%,2019,2019,2019/1/1-2019/12/31,亿元,SKX,YES,https://www.sec.gov/ix?doc=/Archives/edgar/data/1065837/000156459021009442/skx-10k_20201231.htm
SKECHERS,鞋, 304 , 24.3 ,8.0%,2018,2018,2018/1/1-2018/12/31,亿元,SKX,YES,https://www.sec.gov/ix?doc=/Archives/edgar/data/1065837/000156459021009442/skx-10k_20201231.htm
SKECHERS,鞋, 273 , 15.4 ,5.6%,2017,2017,2017/1/1-2017/12/31,亿元,SKX,YES,https://www.sec.gov/Archives/edgar/data/1065837/000156459019005775/skx-10k_20181231.htm#ITEM_8_FINANCIAL_STATEMENTS_SUPPLEMENTAR
SKECHERS,鞋, 233 , 18.7 ,8.0%,2016,2016,2016/1/1-2016/12/31,亿元,SKX,YES,https://www.sec.gov/Archives/edgar/data/1065837/000156459019005775/skx-10k_20181231.htm#ITEM_8_FINANCIAL_STATEMENTS_SUPPLEMENTAR
新秀丽,包, 238 , 10.0 ,4.2%,2019,2019,2019/1/1-2019/12/31,亿元,01910.HK,YES,https://pdf.dfcfw.com/pdf/H2_AN202004161378103196_1.pdf
新秀丽,包, 249 , 16.8 ,6.8%,2018,2018,2018/1/1-2018/12/31,亿元,01910.HK,YES,https://pdf.dfcfw.com/pdf/H2_AN202004161378103196_1.pdf
